"source","object_id","title","property_type","city","district","address","rooms","area_m2","floor","floors_total","land_sot","price_raw","file"
"data","object_01","Продается cтильнaя 2-комнатная квартиpа в ЖK ""Нoвый Aксай"" 
Плoщадь: 55,1 м² + 6 м² лоджия
Объездная улица, 7к5, Аксай, Ростовская область","","","","","","","","","","Цена договорная","objects\object_01\data.json"
"data","object_02","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_02\data.json"
"data","object_03","Квартира · Ростовская область · 44 м²","","","","","","","","","","Цена договорная","objects\object_03\data.json"
"data","object_04","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_04\data.json"
"data","object_05","Квартира · Ростовская область · 40 м²","","","","","","","","","","Цена договорная","objects\object_05\data.json"
"data","object_06","Квартира · Ростовская область · 39 м²","","","","","","","","","","Цена договорная","objects\object_06\data.json"
"data","object_07","Квартира · Ростовская область · 60 м²","","","","","","","","","","Цена договорная","objects\object_07\data.json"
"data","object_09","2-комнатная квартира · Ростовская область · 35 м²","","","","","","","","","","Цена договорная","objects\object_09\data.json"
"data","object_10","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_10\data.json"
"data","object_100","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_100\data.json"
"data","object_101","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_101\data.json"
"data","object_102","1-к. квартира, 35 м².
Общая площадь: 35 м² Площадь кухни: 12.4 м² Жилая площадь: 12.6 м² Ростовская обл., Ростов-на-Дону, Берберовская ул.,
р-н Первомайский","","","","","","","","","","Цена договорная","objects\object_102\data.json"
"data","object_103","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_103\data.json"
"data","object_104","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_104\data.json"
"data","object_105","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_105\data.json"
"data","object_106","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_106\data.json"
"data","object_107","1-комнатная квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_107\data.json"
"data","object_108","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_108\data.json"
"data","object_109","1-комнатная квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_109\data.json"
"data","object_11","Квартира · Ростовская область · 75 м²","","","","","","","","","","Цена договорная","objects\object_11\data.json"
"data","object_110","Квартира · Ростовская область","","","","","","","","","","Цена договорная","objects\object_110\data.json"
"data","object_111","1-комнатная квартира · Ростовская область · 33 м²","","","","","","","","","","Цена договорная","objects\object_111\data.json"
"data","object_112","Квартира · Ростовская область · 10 м²","","","","","","","","","","Цена договорная","objects\object_112\data.json"
